Symbol,Model,MAPE,RMSE
BTC,NAIVE,0.0128,1913.9633
BTC,LR,0.0173,2533.1579
BTC,MA,0.0229,3260.678
DOGE,NAIVE,0.0356,0.0108
DOGE,LR,0.0477,0.0141
DOGE,MA,0.062,0.0182
ETH,NAIVE,0.0273,131.6287
ETH,LR,0.0373,171.6383
ETH,MA,0.0465,217.3443
HBAR,NAIVE,0.0332,0.0096
HBAR,LR,0.044,0.0122
HBAR,MA,0.0565,0.0157
QNT,NAIVE,0.028,3.7995
QNT,LR,0.0348,4.7236
QNT,MA,0.0434,5.7554
SOL,NAIVE,0.0286,6.9188
SOL,LR,0.0376,8.8877
SOL,MA,0.0475,11.3532
XDC,NAIVE,0.0246,0.0028
XDC,LR,0.0306,0.0034
XDC,MA,0.0404,0.0043
XLM,NAIVE,0.0298,0.016
XLM,LR,0.0402,0.0205
XLM,MA,0.0524,0.0295
XRP,NAIVE,0.0251,0.0981
XRP,LR,0.0322,0.1206
XRP,MA,0.0423,0.1603
